frame_name,class,x,y,width,height
frame_0.jpg,0,0.954174,0.718993,0.091024,0.116202
frame_0.jpg,1,0.882615,0.516128,0.0779957,0.141384
frame_0.jpg,0,0.0751868,0.831773,0.0696433,0.176674
frame_0.jpg,0,0.480989,0.296571,0.022123,0.0611092
frame_0.jpg,0,0.302018,0.17753,0.0170297,0.0385355
frame_0.jpg,0,0.73328,0.358732,0.047587,0.0688972
frame_0.jpg,1,0.335389,0.182537,0.0269773,0.0299835
frame_1.jpg,0,0.481602,0.289652,0.021754,0.0568781
frame_1.jpg,1,0.0943214,0.795147,0.0656182,0.156605
frame_1.jpg,1,0.733293,0.3583,0.0475944,0.0697342
frame_1.jpg,1,0.882219,0.51606,0.0771952,0.141395
frame_1.jpg,0,0.959574,0.722605,0.0798359,0.105571
frame_2.jpg,0,0.881569,0.516405,0.0762827,0.141578
frame_2.jpg,0,0.693357,0.240512,0.049164,0.0561623
frame_2.jpg,1,0.338815,0.181421,0.0308339,0.03341
frame_2.jpg,1,0.732877,0.36071,0.0463905,0.0651418
frame_2.jpg,1,0.304141,0.178189,0.0205106,0.0360135
frame_2.jpg,0,0.482491,0.284436,0.021031,0.0616659
frame_2.jpg,0,0.963198,0.724829,0.073308,0.100991
frame_2.jpg,0,0.103445,0.778547,0.0630957,0.141629
frame_3.jpg,0,0.119955,0.733824,0.0598806,0.147031
frame_3.jpg,1,0.484257,0.28018,0.0206824,0.0573758
frame_3.jpg,1,0.34287,0.180348,0.0324009,0.0348067
frame_3.jpg,0,0.305082,0.178514,0.0229861,0.0345804
frame_3.jpg,1,0.732841,0.359627,0.0470091,0.0667422
frame_3.jpg,1,0.116224,0.753031,0.0519968,0.108295
frame_3.jpg,1,0.881615,0.516386,0.0760227,0.142222
frame_3.jpg,1,0.507838,0.152375,0.0277019,0.0307104
frame_3.jpg,0,0.966732,0.720631,0.0653574,0.105223
frame_4.jpg,0,0.97241,0.719552,0.0543169,0.105518
frame_4.jpg,1,0.881564,0.516346,0.0761753,0.142123
frame_4.jpg,0,0.732788,0.360563,0.0463583,0.0655667
frame_4.jpg,1,0.30678,0.178819,0.0225392,0.0318671
frame_4.jpg,0,0.502907,0.153355,0.0286541,0.0324441
frame_5.jpg,1,0.732976,0.360549,0.0468472,0.0656676
frame_5.jpg,1,0.14255,0.687603,0.0555318,0.126238
frame_5.jpg,0,0.881645,0.516392,0.0764671,0.141993
frame_5.jpg,1,0.975296,0.720227,0.0485195,0.102026
frame_6.jpg,1,0.732806,0.359508,0.0468761,0.0671031
frame_6.jpg,0,0.15629,0.65775,0.0508819,0.117899
frame_6.jpg,1,0.881508,0.516329,0.0762304,0.142104
frame_6.jpg,0,0.980234,0.717372,0.0388954,0.10467
frame_7.jpg,0,0.167274,0.634124,0.0441838,0.10125
frame_7.jpg,1,0.984368,0.71288,0.0304632,0.111259
frame_7.jpg,0,0.170419,0.62087,0.0501049,0.127563
frame_7.jpg,0,0.489284,0.257792,0.0195503,0.0549903
frame_7.jpg,1,0.984122,0.686017,0.0309696,0.163138
frame_7.jpg,0,0.48906,0.246897,0.0202595,0.054497
frame_7.jpg,1,0.881549,0.516307,0.0764883,0.142091
frame_7.jpg,0,0.350822,0.181376,0.0332215,0.0303812
frame_7.jpg,0,0.732753,0.360611,0.0466581,0.0656682
frame_8.jpg,1,0.487446,0.153297,0.0277399,0.0416992
frame_8.jpg,0,0.351764,0.180373,0.0332776,0.0313398
frame_8.jpg,1,0.73274,0.360541,0.0465377,0.0657772
frame_8.jpg,0,0.987745,0.714843,0.0237442,0.109048
frame_8.jpg,0,0.179941,0.612363,0.0563996,0.115762
frame_8.jpg,0,0.881509,0.516189,0.0764439,0.142042
frame_8.jpg,0,0.489684,0.254742,0.0191089,0.0545354
frame_9.jpg,0,0.49135,0.237241,0.0192173,0.0675901
frame_9.jpg,1,0.732702,0.360402,0.0465515,0.0659463
